Zeit [s],Input [V],Voltage accu [V],Current [A],Capacity [mAh],Power [W],Energy [Wh],Cell 1 [V],Cell 2 [V],Cell 3 [V],Cell 4 [V],Cell 5 [V],Cell 6 [V],Int. Temperatur [�C],Ext. Temperatur [�C]
0,11.873,7.129,0.52,0,3.707,0.002,0,0,0,0,0,0,32.8,0
2,11.846,7.164,0.6,0,4.298,0.004,0,0,0,0,0,0,32.8,0
4,11.853,7.182,0.59,0,4.237,0.007,0,0,0,0,0,0,32.8,0
6,11.846,7.189,0.59,1,4.242,0.009,0,0,0,0,0,0,33.2,0
8,11.846,7.206,0.6,1,4.324,0.012,0,0,0,0,0,0,33.5,0
10,11.853,7.206,0.59,1,4.252,0.014,0,0,0,0,0,0,33.7,0.1
12,11.853,7.206,0.59,2,4.252,0.016,0,0,0,0,0,0,33.7,0
14,11.853,7.211,0.59,2,4.254,0.019,0,0,0,0,0,0,33.7,0
16,11.859,7.214,0.59,2,4.256,0.021,0,0,0,0,0,0,33.7,0
18,11.853,7.219,0.59,3,4.259,0.023,0,0,0,0,0,0,33.7,0
20,11.853,7.222,0.59,3,4.261,0.026,0,0,0,0,0,0,34,0
22,11.846,7.222,0.59,3,4.261,0.028,0,0,0,0,0,0,34.2,0
24,11.846,7.222,0.59,4,4.261,0.03,0,0,0,0,0,0,34.4,0
26,11.846,7.222,0.59,4,4.261,0.033,0,0,0,0,0,0,34.7,0
28,11.846,7.228,0.6,4,4.337,0.035,0,0,0,0,0,0,34.7,0.1
30,11.846,7.233,0.59,5,4.267,0.038,0,0,0,0,0,0,34.7,0.1
32,11.846,7.232,0.59,5,4.267,0.04,0,0,0,0,0,0,34.7,0
34,11.846,7.237,0.59,5,4.27,0.042,0,0,0,0,0,0,34.7,0.1
36,11.853,7.236,0.59,6,4.269,0.045,0,0,0,0,0,0,34.7,0
38,11.846,7.245,0.6,6,4.347,0.047,0,0,0,0,0,0,34.7,0
40,11.853,7.241,0.59,6,4.272,0.05,0,0,0,0,0,0,34.7,0
42,11.846,7.241,0.6,7,4.345,0.052,0,0,0,0,0,0,34.9,0
44,11.846,7.241,0.6,7,4.345,0.054,0,0,0,0,0,0,34.9,0
46,11.846,7.237,0.59,7,4.27,0.057,0,0,0,0,0,0,35.1,0
48,11.853,7.245,0.59,8,4.275,0.059,0,0,0,0,0,0,35.4,0
50,11.853,7.245,0.6,8,4.347,0.062,0,0,0,0,0,0,35.4,0
52,11.846,7.249,0.59,8,4.277,0.064,0,0,0,0,0,0,35.6,0
54,11.846,7.258,0.6,9,4.355,0.066,0,0,0,0,0,0,35.6,0
56,11.853,7.255,0.59,9,4.28,0.069,0,0,0,0,0,0,35.6,0.1
58,11.846,7.255,0.6,9,4.353,0.071,0,0,0,0,0,0,35.6,0
60,11.846,7.256,0.6,10,4.354,0.074,0,0,0,0,0,0,35.6,0
62,11.853,7.252,0.59,10,4.279,0.076,0,0,0,0,0,0,35.6,0
64,11.853,7.258,0.59,10,4.282,0.078,0,0,0,0,0,0,35.6,0
66,11.853,7.26,0.59,11,4.283,0.081,0,0,0,0,0,0,35.6,0
68,11.853,7.259,0.59,11,4.283,0.083,0,0,0,0,0,0,35.6,0
70,11.853,7.267,0.59,11,4.288,0.085,0,0,0,0,0,0,35.6,0
72,11.846,7.264,0.59,12,4.286,0.088,0,0,0,0,0,0,35.6,0
74,11.853,7.263,0.59,12,4.285,0.09,0,0,0,0,0,0,35.9,0
76,11.846,7.264,0.59,12,4.286,0.093,0,0,0,0,0,0,35.9,0
78,11.846,7.267,0.6,13,4.36,0.095,0,0,0,0,0,0,36.1,0
80,11.853,7.267,0.6,13,4.36,0.097,0,0,0,0,0,0,36.3,0
82,11.846,7.268,0.59,13,4.288,0.1,0,0,0,0,0,0,36.3,0
84,11.846,7.268,0.59,14,4.288,0.102,0,0,0,0,0,0,36.3,0
86,11.853,7.273,0.59,14,4.291,0.105,0,0,0,0,0,0,36.3,0
88,11.853,7.269,0.59,14,4.289,0.107,0,0,0,0,0,0,36.6,0
90,11.853,7.274,0.59,15,4.292,0.109,0,0,0,0,0,0,36.6,0
92,11.846,7.276,0.59,15,4.293,0.112,0,0,0,0,0,0,36.6,0
94,11.853,7.277,0.59,15,4.293,0.114,0,0,0,0,0,0,36.6,0
96,11.846,7.277,0.6,16,4.366,0.117,0,0,0,0,0,0,36.6,0
98,11.846,7.277,0.59,16,4.293,0.119,0,0,0,0,0,0,36.6,0
100,11.846,7.283,0.6,17,4.37,0.121,0,0,0,0,0,0,36.6,0
102,11.846,7.283,0.6,17,4.37,0.124,0,0,0,0,0,0,36.6,0
104,11.859,7.281,0.59,17,4.296,0.126,0,0,0,0,0,0,36.6,0
106,11.853,7.281,0.59,17,4.296,0.129,0,0,0,0,0,0,36.6,0
108,11.846,7.283,0.59,18,4.297,0.131,0,0,0,0,0,0,36.6,0
110,11.853,7.283,0.59,18,4.297,0.133,0,0,0,0,0,0,36.6,0
112,11.846,7.284,0.59,18,4.298,0.136,0,0,0,0,0,0,36.6,0
114,11.853,7.286,0.59,19,4.299,0.138,0,0,0,0,0,0,36.6,0
116,11.846,7.291,0.6,19,4.375,0.141,0,0,0,0,0,0,36.6,0
118,11.846,7.289,0.59,19,4.301,0.143,0,0,0,0,0,0,36.6,0
120,11.853,7.296,0.59,20,4.305,0.145,0,0,0,0,0,0,36.6,0
122,11.846,7.292,0.59,20,4.302,0.148,0,0,0,0,0,0,36.6,0
124,11.846,7.299,0.59,20,4.306,0.15,0,0,0,0,0,0,36.6,0
126,11.859,7.298,0.6,21,4.379,0.153,0,0,0,0,0,0,36.6,0.1
128,11.853,7.298,0.59,21,4.306,0.155,0,0,0,0,0,0,36.8,0
130,11.853,7.299,0.59,21,4.306,0.157,0,0,0,0,0,0,37,0
132,11.853,7.299,0.61,22,4.452,0.16,0,0,0,0,0,0,37,0
134,11.846,7.303,0.59,22,4.309,0.162,0,0,0,0,0,0,37.3,0
136,11.853,7.301,0.59,22,4.308,0.165,0,0,0,0,0,0,37.3,0
138,11.853,7.301,0.59,23,4.308,0.167,0,0,0,0,0,0,37.3,0
140,11.846,7.301,0.59,23,4.308,0.169,0,0,0,0,0,0,37.3,0
142,11.846,7.303,0.59,23,4.309,0.172,0,0,0,0,0,0,37.5,0
144,11.853,7.306,0.59,24,4.311,0.174,0,0,0,0,0,0,37.3,0
146,11.853,7.306,0.59,24,4.311,0.177,0,0,0,0,0,0,37.3,0
148,11.866,7.305,0.6,24,4.383,0.179,0,0,0,0,0,0,37.5,0
150,11.846,7.304,0.59,25,4.309,0.181,0,0,0,0,0,0,37.5,0
152,11.853,7.306,0.6,25,4.384,0.184,0,0,0,0,0,0,37.5,0
