iCharger208B;Outlet
Time [hh:mm:ss.SSS];Voltage [V];Current [A];Capacity [mAh];CellVoltage 1 [V];CellVoltage 2 [V];CellVoltage 3 [V];CellVoltage 4 [V];CellVoltage 5 [V];CellVoltage 6 [V];CellVoltage 7 [V];CellVoltage 8 [V]
00:00.000;4.203;0.37;0.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
00:02.000;4.204;0.37;0.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
00:04.000;4.196;0.37;0.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
00:06.000;4.207;0.36;0.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
00:08.000;4.196;0.36;1.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
00:10.000;4.196;0.36;1.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
00:12.000;4.196;0.36;1.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
00:14.000;4.196;0.36;1.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
00:16.000;4.196;0.35;1.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
00:18.000;4.196;0.35;2.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
00:20.000;4.196;0.35;2.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
00:22.000;4.196;0.35;2.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
00:24.000;4.196;0.35;2.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
00:26.000;4.196;0.35;2.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
00:28.000;4.196;0.35;3.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
00:30.000;4.196;0.35;3.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
00:32.000;4.196;0.35;3.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
00:34.000;4.196;0.35;3.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
00:36.000;4.196;0.35;3.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
00:38.000;4.196;0.34;4.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
00:40.000;4.196;0.34;4.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
