date;time;battery_state;voltage[V];current[mA];capacity[mAh]
2025-09-23;15:54:47;charging;4.197;6;0
2025-09-23;15:54:49;charging;4.197;6;0
2025-09-23;15:54:51;charging;4.197;6;0
2025-09-23;15:54:53;charging;4.197;6;0
2025-09-23;15:54:55;charging;4.197;6;0
2025-09-23;15:54:58;charging;4.196;6;0
2025-09-23;15:54:59;charging;4.197;6;0
2025-09-23;15:55:01;charging;4.196;6;0
2025-09-23;15:55:03;charging;4.201;6;0
2025-09-23;15:55:05;charging;4.196;6;0
2025-09-23;15:55:07;charging;4.197;6;0
2025-09-23;15:55:10;charging;4.197;6;0
2025-09-23;15:55:11;charging;4.197;6;0
2025-09-23;15:55:13;charging;4.197;6;0
2025-09-23;15:55:15;charging;4.197;6;0
2025-09-23;15:55:18;charging;4.197;6;0
2025-09-23;15:55:19;charging;4.197;6;0
2025-09-23;15:55:21;charging;4.197;6;0
2025-09-23;15:55:23;charging;4.197;6;0
2025-09-23;15:55:25;charging;4.197;6;0
2025-09-23;15:55:27;charging;4.197;6;0
2025-09-23;15:55:30;charging;4.196;6;0
2025-09-23;15:55:31;charging;4.196;6;0
2025-09-23;15:55:33;charging;4.197;6;0
2025-09-23;15:55:35;charging;4.197;6;0
2025-09-23;15:55:38;charging;4.197;6;1
2025-09-23;15:55:39;charging;4.197;6;1
2025-09-23;15:55:41;charging;4.197;6;1
2025-09-23;15:55:43;charging;4.197;6;1
2025-09-23;15:55:45;charging;4.197;6;1
2025-09-23;15:55:47;charging;4.197;6;1
2025-09-23;15:55:50;charging;4.197;6;1
2025-09-23;15:55:51;charging;4.197;6;1
2025-09-23;15:55:53;charging;4.197;6;1
2025-09-23;15:55:55;charging;4.197;6;1
2025-09-23;15:55:57;charging;4.197;6;1
2025-09-23;15:55:59;charging;4.197;6;1
2025-09-23;15:56:01;charging;4.197;6;1
2025-09-23;15:56:03;charging;4.197;6;1
2025-09-23;15:56:05;charging;4.197;6;1
2025-09-23;15:56:07;charging;4.197;6;1
2025-09-23;15:56:10;charging;4.197;6;1
2025-09-23;15:56:11;charging;4.197;6;1
2025-09-23;15:56:13;charging;4.197;6;1
2025-09-23;15:56:15;charging;4.197;6;1
2025-09-23;15:56:18;charging;4.197;6;1
2025-09-23;15:56:19;charging;4.197;6;1
2025-09-23;15:56:21;charging;4.197;6;1
2025-09-23;15:56:23;charging;4.197;6;1
2025-09-23;15:56:25;charging;4.197;6;1
2025-09-23;15:56:27;charging;4.197;7;1
2025-09-23;15:56:30;charging;4.197;6;2
2025-09-23;15:56:31;charging;4.197;7;2
2025-09-23;15:56:33;charging;4.197;6;2
2025-09-23;15:56:35;charging;4.197;6;2
2025-09-23;15:56:38;charging;4.197;6;2
2025-09-23;15:56:39;charging;4.197;6;2
2025-09-23;15:56:41;charging;4.197;7;2
2025-09-23;15:56:43;charging;4.197;6;2
2025-09-23;15:56:46;charging;4.197;6;2
2025-09-23;15:56:47;charging;4.197;7;2
2025-09-23;15:56:49;charging;4.197;7;2
2025-09-23;15:56:51;charging;4.197;7;2
2025-09-23;15:56:53;charging;4.197;7;2
2025-09-23;15:56:55;charging;4.197;7;2
2025-09-23;15:56:57;charging;4.197;7;2
2025-09-23;15:56:59;charging;4.197;7;2
2025-09-23;15:57:01;charging;4.197;7;2
2025-09-23;15:57:03;charging;4.197;7;2
2025-09-23;15:57:06;charging;4.197;7;2
2025-09-23;15:57:07;charging;4.197;7;2
2025-09-23;15:57:09;charging;4.197;7;2
2025-09-23;15:57:11;charging;4.197;7;2
2025-09-23;15:57:13;charging;4.197;7;2
2025-09-23;15:57:15;charging;4.197;7;2
2025-09-23;15:57:17;charging;4.197;7;2
2025-09-23;15:57:19;charging;4.197;7;2
2025-09-23;15:57:21;charging;4.197;7;3
2025-09-23;15:57:23;charging;4.197;7;3
2025-09-23;15:57:25;charging;4.197;7;3
2025-09-23;15:57:27;charging;4.197;6;3
2025-09-23;15:57:29;charging;4.197;7;3
2025-09-23;15:57:31;charging;4.197;7;3
2025-09-23;15:57:34;charging;4.197;7;3
2025-09-23;15:57:35;charging;4.197;7;3
2025-09-23;15:57:37;charging;4.196;7;3
2025-09-23;15:57:39;charging;4.197;7;3
2025-09-23;15:57:41;charging;4.197;7;3
2025-09-23;15:57:43;charging;4.197;7;3
2025-09-23;15:57:45;charging;4.197;7;3
2025-09-23;15:57:47;charging;4.197;7;3
2025-09-23;15:57:49;charging;4.197;7;3
2025-09-23;15:57:51;charging;4.197;7;3
2025-09-23;15:57:54;charging;4.197;6;3
2025-09-23;15:57:55;charging;4.197;7;3
2025-09-23;15:57:57;charging;4.197;6;3
2025-09-23;15:57:59;charging;4.197;7;3
2025-09-23;15:58:01;charging;4.197;7;3
2025-09-23;15:58:03;charging;4.197;6;3
2025-09-23;15:58:05;charging;4.197;6;3
2025-09-23;15:58:07;charging;4.197;6;3
2025-09-23;15:58:09;charging;4.197;6;3
2025-09-23;15:58:11;charging;4.196;7;4
2025-09-23;15:58:13;charging;4.197;7;4
2025-09-23;15:58:15;charging;4.197;7;4
2025-09-23;15:58:17;charging;4.197;7;4
2025-09-23;15:58:19;charging;4.201;7;4
2025-09-23;15:58:22;charging;4.203;7;4
2025-09-23;15:58:23;charging;4.202;6;4
2025-09-23;15:58:25;charging;4.203;7;4
2025-09-23;15:58:27;charging;4.197;7;4
2025-09-23;15:58:29;charging;4.197;7;4
2025-09-23;15:58:31;charging;4.197;7;4
2025-09-23;15:58:33;charging;4.197;7;4
2025-09-23;15:58:35;charging;4.197;7;4
2025-09-23;15:58:37;charging;4.205;7;4
2025-09-23;15:58:39;charging;4.205;7;4
2025-09-23;15:58:41;charging;4.197;7;4
2025-09-23;15:58:43;charging;4.197;7;4
2025-09-23;15:58:45;charging;4.197;7;4
2025-09-23;15:58:47;charging;4.197;7;4
2025-09-23;15:58:49;charging;4.197;7;4
2025-09-23;15:58:51;charging;4.197;7;4
2025-09-23;15:58:53;charging;4.197;7;4
2025-09-23;15:58:55;charging;4.197;6;4
2025-09-23;15:58:57;charging;4.197;7;4
2025-09-23;15:58:59;charging;4.197;7;4
2025-09-23;15:59:01;charging;4.197;7;5
2025-09-23;15:59:03;charging;4.197;7;5
2025-09-23;15:59:06;charging;4.197;7;5
2025-09-23;15:59:07;charging;4.197;7;5
2025-09-23;15:59:09;charging;4.202;7;5
2025-09-23;15:59:11;charging;4.197;7;5
2025-09-23;15:59:13;charging;4.197;7;5
2025-09-23;15:59:15;charging;4.197;7;5
2025-09-23;15:59:17;charging;4.197;7;5
2025-09-23;15:59:19;charging;4.197;7;5
