date;system_hour;cycle_time;battery_state;voltage[V];current[mA];capacity[mAh]
2025-09-23;14:47:28;5:46:08;rest;4.121;0.0;747
2025-09-23;14:47:30;0:00:02;rest;4.122;0.0;747
2025-09-23;14:47:32;0:00:04;rest;4.12;0.0;747
2025-09-23;14:47:34;0:00:06;rest;4.12;0.0;747
2025-09-23;14:47:36;0:00:08;rest;4.124;0.0;747
2025-09-23;14:47:38;0:00:10;rest;4.12;0.0;747
2025-09-23;14:47:40;0:00:12;rest;4.12;0.0;747
2025-09-23;14:47:42;0:00:14;rest;4.12;0.0;747
2025-09-23;14:47:44;0:00:16;rest;4.12;0.0;747
2025-09-23;14:47:46;0:00:18;rest;4.12;0.0;747
2025-09-23;14:47:48;0:00:20;rest;4.12;0.0;747
2025-09-23;14:47:50;0:00:22;rest;4.12;0.0;747
2025-09-23;14:47:52;0:00:24;rest;4.12;0.0;747
2025-09-23;14:47:54;0:00:26;rest;4.124;0.0;747
2025-09-23;14:47:56;0:00:28;rest;4.12;0.0;747
2025-09-23;14:47:58;0:00:30;rest;4.12;0.0;747
2025-09-23;14:48:00;0:00:32;rest;4.12;0.0;747
2025-09-23;14:48:02;0:00:34;rest;4.12;0.0;747
2025-09-23;14:48:04;0:00:36;rest;4.12;0.0;747
2025-09-23;14:48:06;0:00:38;rest;4.12;0.0;747
2025-09-23;14:48:08;0:00:40;rest;4.125;0.0;747
2025-09-23;14:48:10;0:00:42;rest;4.12;0.0;747
2025-09-23;14:48:12;0:00:44;rest;4.12;0.0;747
2025-09-23;14:48:14;0:00:46;rest;4.12;0.0;747
2025-09-23;14:48:16;0:00:48;rest;4.12;0.0;747
2025-09-23;14:48:18;0:00:50;rest;4.12;0.0;747
2025-09-23;14:48:20;0:00:52;rest;4.12;0.0;747
2025-09-23;14:48:22;0:00:54;rest;4.12;0.0;747
2025-09-23;14:48:24;0:00:56;rest;4.12;0.0;747
2025-09-23;14:48:26;0:00:58;rest;4.127;0.0;747
2025-09-23;14:48:28;0:01:00;rest;4.12;0.0;747
2025-09-23;14:48:30;0:01:02;rest;4.12;0.0;747
2025-09-23;14:48:32;0:01:04;rest;4.12;0.0;747
2025-09-23;14:48:34;0:01:06;rest;4.125;0.0;747
2025-09-23;14:48:36;0:01:08;rest;4.12;0.0;747
2025-09-23;14:48:38;0:01:10;rest;4.12;0.0;747
2025-09-23;14:48:40;0:01:12;rest;4.12;0.0;747
2025-09-23;14:48:42;0:01:14;rest;4.12;0.0;747
2025-09-23;14:48:44;0:01:16;rest;4.12;0.0;747
2025-09-23;14:48:46;0:01:18;rest;4.12;0.0;747
2025-09-23;14:48:48;0:01:20;rest;4.12;0.0;747
2025-09-23;14:48:50;0:01:22;rest;4.12;0.0;747
2025-09-23;14:48:52;0:01:24;rest;4.12;0.0;747
2025-09-23;14:48:54;0:01:26;rest;4.12;0.0;747
2025-09-23;14:48:56;0:01:28;rest;4.12;0.0;747
2025-09-23;14:48:58;0:01:30;rest;4.12;0.0;747
2025-09-23;14:49:00;0:01:32;rest;4.12;0.0;747
2025-09-23;14:49:02;0:01:34;rest;4.12;0.0;747
2025-09-23;14:49:04;0:01:36;rest;4.12;0.0;747
2025-09-23;14:49:06;0:01:38;rest;4.12;0.0;747
2025-09-23;14:49:08;0:01:40;rest;4.12;0.0;747
2025-09-23;14:49:10;0:01:42;rest;4.12;0.0;747
2025-09-23;14:49:12;0:01:44;rest;4.12;0.0;747
2025-09-23;14:49:14;0:01:46;rest;4.12;0.0;747
2025-09-23;14:49:16;0:01:48;rest;4.12;0.0;747
2025-09-23;14:49:18;0:01:50;rest;4.12;0.0;747
2025-09-23;14:49:20;0:01:52;rest;4.12;0.0;747
2025-09-23;14:49:22;0:01:54;rest;4.12;0.0;747
2025-09-23;14:49:24;0:01:56;rest;4.12;0.0;747
2025-09-23;14:49:26;0:01:58;rest;4.12;0.0;747
2025-09-23;14:49:28;0:02:00;rest;4.12;0.0;747
2025-09-23;14:49:30;0:02:02;rest;4.12;0.0;747
2025-09-23;14:49:32;0:02:04;rest;4.12;0.0;747
2025-09-23;14:49:34;0:02:06;rest;4.12;0.0;747
2025-09-23;14:49:36;0:02:08;rest;4.12;0.0;747
2025-09-23;14:49:38;0:02:10;rest;4.12;0.0;747
2025-09-23;14:49:40;0:02:12;rest;4.12;0.0;747
2025-09-23;14:49:42;0:02:14;rest;4.12;0.0;747
2025-09-23;14:49:44;0:02:16;rest;4.12;0.0;747
2025-09-23;14:49:46;0:02:18;rest;4.12;0.0;747
2025-09-23;14:49:48;0:02:20;rest;4.12;0.0;747
2025-09-23;14:49:50;0:02:22;rest;4.12;0.0;747
2025-09-23;14:49:52;0:02:24;rest;4.12;0.0;747
2025-09-23;14:49:54;0:02:26;rest;4.12;0.0;747
2025-09-23;14:49:56;0:02:28;rest;4.12;0.0;747
2025-09-23;14:49:58;0:02:30;rest;4.12;0.0;747
2025-09-23;14:50:00;0:02:32;rest;4.12;0.0;747
2025-09-23;14:50:02;0:02:34;rest;4.12;0.0;747
2025-09-23;14:50:04;0:02:36;rest;4.12;0.0;747
2025-09-23;14:50:06;0:02:38;rest;4.12;0.0;747
2025-09-23;14:50:08;0:02:40;rest;4.12;0.0;747
2025-09-23;14:50:10;0:02:42;rest;4.12;0.0;747
2025-09-23;14:50:12;0:02:44;rest;4.12;0.0;747
2025-09-23;14:50:14;0:02:46;rest;4.12;0.0;747
2025-09-23;14:50:16;0:02:48;rest;4.12;0.0;747
2025-09-23;14:50:18;0:02:50;rest;4.12;0.0;747
2025-09-23;14:50:20;0:02:52;rest;4.12;0.0;747
2025-09-23;14:50:22;0:02:54;rest;4.12;0.0;747
2025-09-23;14:50:24;0:02:56;rest;4.12;0.0;747
2025-09-23;14:50:26;0:02:58;rest;4.12;0.0;747
2025-09-23;14:50:28;0:03:00;rest;4.12;0.0;747
2025-09-23;14:50:30;0:03:02;rest;4.12;0.0;747
2025-09-23;14:50:32;0:03:04;rest;4.12;0.0;747
2025-09-23;14:50:34;0:03:06;rest;4.12;0.0;747
2025-09-23;14:50:36;0:03:08;rest;4.12;0.0;747
2025-09-23;14:50:38;0:03:10;rest;4.12;0.0;747
2025-09-23;14:50:40;0:03:12;rest;4.12;0.0;747
2025-09-23;14:50:42;0:03:14;rest;4.12;0.0;747
2025-09-23;14:50:44;0:03:16;rest;4.12;0.0;747
2025-09-23;14:50:46;0:03:18;rest;4.12;0.0;747
2025-09-23;14:50:48;0:03:20;rest;4.12;0.0;747
2025-09-23;14:50:50;0:03:22;rest;4.12;0.0;747
2025-09-23;14:50:52;0:03:24;rest;4.12;0.0;747
2025-09-23;14:50:54;0:03:26;rest;4.12;0.0;747
2025-09-23;14:50:56;0:03:28;rest;4.12;0.0;747
2025-09-23;14:50:58;0:03:30;rest;4.12;0.0;747
2025-09-23;14:51:00;0:03:32;rest;4.12;0.0;747
2025-09-23;14:51:02;0:03:34;rest;4.12;0.0;747
2025-09-23;14:51:04;0:03:36;rest;4.12;0.0;747
2025-09-23;14:51:06;0:03:38;rest;4.12;0.0;747
2025-09-23;14:51:08;0:03:40;rest;4.12;0.0;747
2025-09-23;14:51:10;0:03:42;rest;4.12;0.0;747
2025-09-23;14:51:12;0:03:44;rest;4.12;0.0;747
2025-09-23;14:51:14;0:03:46;rest;4.12;0.0;747
2025-09-23;14:51:16;0:03:48;rest;4.12;0.0;747
2025-09-23;14:51:18;0:03:50;rest;4.12;0.0;747
2025-09-23;14:51:20;0:03:52;rest;4.12;0.0;747
2025-09-23;14:51:22;0:03:54;rest;4.12;0.0;747
2025-09-23;14:51:24;0:03:56;rest;4.12;0.0;747
2025-09-23;14:51:26;0:03:58;rest;4.12;0.0;747
2025-09-23;14:51:28;0:04:00;rest;4.12;0.0;747
