date;time;battery_state;voltage[V];current[mA];capacity[mAh]
2025-09-23;14:47:28;rest;4.121;0;747
2025-09-23;14:47:30;rest;4.122;0;747
2025-09-23;14:47:32;rest;4.12;0;747
2025-09-23;14:47:34;rest;4.12;0;747
2025-09-23;14:47:36;rest;4.124;0;747
2025-09-23;14:47:38;rest;4.12;0;747
2025-09-23;14:47:40;rest;4.12;0;747
2025-09-23;14:47:42;rest;4.12;0;747
2025-09-23;14:47:44;rest;4.12;0;747
2025-09-23;14:47:46;rest;4.12;0;747
2025-09-23;14:47:48;rest;4.12;0;747
2025-09-23;14:47:50;rest;4.12;0;747
2025-09-23;14:47:52;rest;4.12;0;747
2025-09-23;14:47:54;rest;4.124;0;747
2025-09-23;14:47:56;rest;4.12;0;747
2025-09-23;14:47:58;rest;4.12;0;747
2025-09-23;14:48:00;rest;4.12;0;747
2025-09-23;14:48:02;rest;4.12;0;747
2025-09-23;14:48:04;rest;4.12;0;747
2025-09-23;14:48:06;rest;4.12;0;747
2025-09-23;14:48:08;rest;4.125;0;747
2025-09-23;14:48:10;rest;4.12;0;747
2025-09-23;14:48:12;rest;4.12;0;747
2025-09-23;14:48:14;rest;4.12;0;747
2025-09-23;14:48:16;rest;4.12;0;747
2025-09-23;14:48:18;rest;4.12;0;747
2025-09-23;14:48:20;rest;4.12;0;747
2025-09-23;14:48:22;rest;4.12;0;747
2025-09-23;14:48:24;rest;4.12;0;747
2025-09-23;14:48:26;rest;4.127;0;747
2025-09-23;14:48:28;rest;4.12;0;747
2025-09-23;14:48:30;rest;4.12;0;747
2025-09-23;14:48:32;rest;4.12;0;747
2025-09-23;14:48:34;rest;4.125;0;747
2025-09-23;14:48:36;rest;4.12;0;747
2025-09-23;14:48:38;rest;4.12;0;747
2025-09-23;14:48:40;rest;4.12;0;747
2025-09-23;14:48:42;rest;4.12;0;747
2025-09-23;14:48:44;rest;4.12;0;747
2025-09-23;14:48:46;rest;4.12;0;747
2025-09-23;14:48:48;rest;4.12;0;747
2025-09-23;14:48:50;rest;4.12;0;747
2025-09-23;14:48:52;rest;4.12;0;747
2025-09-23;14:48:54;rest;4.12;0;747
2025-09-23;14:48:56;rest;4.12;0;747
2025-09-23;14:48:58;rest;4.12;0;747
2025-09-23;14:49:00;rest;4.12;0;747
2025-09-23;14:49:02;rest;4.12;0;747
2025-09-23;14:49:04;rest;4.12;0;747
2025-09-23;14:49:06;rest;4.12;0;747
2025-09-23;14:49:08;rest;4.12;0;747
2025-09-23;14:49:10;rest;4.12;0;747
2025-09-23;14:49:12;rest;4.12;0;747
2025-09-23;14:49:14;rest;4.12;0;747
2025-09-23;14:49:16;rest;4.12;0;747
2025-09-23;14:49:18;rest;4.12;0;747
2025-09-23;14:49:20;rest;4.12;0;747
2025-09-23;14:49:22;rest;4.12;0;747
2025-09-23;14:49:24;rest;4.12;0;747
2025-09-23;14:49:26;rest;4.12;0;747
2025-09-23;14:49:28;rest;4.12;0;747
2025-09-23;14:49:30;rest;4.12;0;747
2025-09-23;14:49:32;rest;4.12;0;747
2025-09-23;14:49:34;rest;4.12;0;747
2025-09-23;14:49:36;rest;4.12;0;747
2025-09-23;14:49:38;rest;4.12;0;747
2025-09-23;14:49:40;rest;4.12;0;747
2025-09-23;14:49:42;rest;4.12;0;747
2025-09-23;14:49:44;rest;4.12;0;747
2025-09-23;14:49:46;rest;4.12;0;747
2025-09-23;14:49:48;rest;4.12;0;747
2025-09-23;14:49:50;rest;4.12;0;747
2025-09-23;14:49:52;rest;4.12;0;747
2025-09-23;14:49:54;rest;4.12;0;747
2025-09-23;14:49:56;rest;4.12;0;747
2025-09-23;14:49:58;rest;4.12;0;747
2025-09-23;14:50:00;rest;4.12;0;747
2025-09-23;14:50:02;rest;4.12;0;747
2025-09-23;14:50:04;rest;4.12;0;747
2025-09-23;14:50:06;rest;4.12;0;747
2025-09-23;14:50:08;rest;4.12;0;747
2025-09-23;14:50:10;rest;4.12;0;747
2025-09-23;14:50:12;rest;4.12;0;747
2025-09-23;14:50:14;rest;4.12;0;747
2025-09-23;14:50:16;rest;4.12;0;747
2025-09-23;14:50:18;rest;4.12;0;747
2025-09-23;14:50:20;rest;4.12;0;747
2025-09-23;14:50:22;rest;4.12;0;747
2025-09-23;14:50:24;rest;4.12;0;747
2025-09-23;14:50:26;rest;4.12;0;747
2025-09-23;14:50:28;rest;4.12;0;747
2025-09-23;14:50:30;rest;4.12;0;747
2025-09-23;14:50:32;rest;4.12;0;747
2025-09-23;14:50:34;rest;4.12;0;747
2025-09-23;14:50:36;rest;4.12;0;747
2025-09-23;14:50:38;rest;4.12;0;747
2025-09-23;14:50:40;rest;4.12;0;747
2025-09-23;14:50:42;rest;4.12;0;747
2025-09-23;14:50:44;rest;4.12;0;747
2025-09-23;14:50:46;rest;4.12;0;747
2025-09-23;14:50:48;rest;4.12;0;747
2025-09-23;14:50:50;rest;4.12;0;747
2025-09-23;14:50:52;rest;4.12;0;747
2025-09-23;14:50:54;rest;4.12;0;747
2025-09-23;14:50:56;rest;4.12;0;747
2025-09-23;14:50:58;rest;4.12;0;747
2025-09-23;14:51:00;rest;4.12;0;747
2025-09-23;14:51:02;rest;4.12;0;747
2025-09-23;14:51:04;rest;4.12;0;747
2025-09-23;14:51:06;rest;4.12;0;747
2025-09-23;14:51:08;rest;4.12;0;747
2025-09-23;14:51:10;rest;4.12;0;747
2025-09-23;14:51:12;rest;4.12;0;747
2025-09-23;14:51:14;rest;4.12;0;747
