iCharger106B;Outlet
Time [hh:mm:ss.SSS];Voltage [V];Current [A];Capacity [mAh]
00:00:00.000;4.03;0.50;0
00:00:02.000;4.03;0.50;0
00:00:04.000;4.04;0.49;0
00:00:06.000;4.03;0.49;1
00:00:08.000;4.03;0.50;1
00:00:10.000;4.04;0.50;1
00:00:12.000;4.04;0.50;1
00:00:14.000;4.04;0.49;2
00:00:16.000;4.04;0.49;2
00:00:18.000;4.05;0.50;2
00:00:20.000;4.06;0.50;3
00:00:22.000;4.06;0.50;3
00:00:24.000;4.06;0.49;3
00:00:26.000;4.07;0.49;3
00:00:28.000;4.07;0.49;4
00:00:30.000;4.07;0.49;4
00:00:32.000;4.07;0.49;4
00:00:34.000;4.07;0.49;5
00:00:36.000;4.07;0.50;5
00:00:38.000;4.07;0.50;5
00:00:40.000;4.07;0.49;5
00:00:42.000;4.07;0.49;6
00:00:44.000;4.08;0.49;6
00:00:46.000;4.09;0.50;6
00:00:48.000;4.10;0.49;7
00:00:50.000;4.09;0.49;7
00:00:52.000;4.10;0.49;7
00:00:54.000;4.10;0.50;7
00:00:56.000;4.09;0.49;8
00:00:58.000;4.10;0.49;8
00:01:00.000;4.10;0.49;8
00:01:02.000;4.10;0.49;8
00:01:04.000;4.10;0.49;9
00:01:06.000;4.10;0.49;9
00:01:08.000;4.11;0.50;9
00:01:10.000;4.11;0.49;10
00:01:12.000;4.10;0.50;10
00:01:14.000;4.10;0.50;10
00:01:16.000;4.12;0.50;10
00:01:18.000;4.12;0.49;11
00:01:20.000;4.12;0.49;11
00:01:22.000;4.12;0.49;11
00:01:24.000;4.13;0.50;12
00:01:26.000;4.13;0.50;12
00:01:28.000;4.13;0.49;12
00:01:30.000;4.13;0.49;12
00:01:32.000;4.13;0.50;13
00:01:34.000;4.13;0.49;13
00:01:36.000;4.13;0.49;13
00:01:38.000;4.13;0.50;13
00:01:40.000;4.14;0.50;14
00:01:42.000;4.14;0.50;14
00:01:44.000;4.14;0.50;14
00:01:46.000;4.14;0.50;15
00:01:48.000;4.14;0.49;15
00:01:50.000;4.14;0.49;15
00:01:52.000;4.15;0.50;15
00:01:54.000;4.16;0.50;16
00:01:56.000;4.15;0.50;16
00:01:58.000;4.16;0.49;16
00:02:00.000;4.15;0.49;17
00:02:02.000;4.16;0.50;17
00:02:04.000;4.16;0.49;17
00:02:06.000;4.15;0.49;18
00:02:08.000;4.17;0.49;18
00:02:10.000;4.17;0.49;18
00:02:12.000;4.17;0.49;18
00:02:14.000;4.15;0.49;19
00:02:16.000;4.16;0.49;19
00:02:18.000;4.17;0.49;19
00:02:20.000;4.17;0.49;19
00:02:22.000;4.17;0.49;20
00:02:24.000;4.17;0.49;20
00:02:26.000;4.17;0.49;20
00:02:28.000;4.17;0.49;21
00:02:30.000;4.17;0.49;21
00:02:32.000;4.17;0.49;21
00:02:34.000;4.17;0.49;21
00:02:36.000;4.18;0.50;22
00:02:38.000;4.17;0.49;22
00:02:40.000;4.19;0.49;22
00:02:42.000;4.19;0.49;23
00:02:44.000;4.19;0.49;23
00:02:46.000;4.18;0.49;23
00:02:48.000;4.18;0.49;23
00:02:50.000;4.18;0.49;24
00:02:52.000;4.19;0.49;24
00:02:54.000;4.19;0.50;24
00:02:56.000;4.19;0.49;24
00:02:58.000;4.20;0.50;25
00:03:00.000;4.20;0.50;25
00:03:02.000;4.20;0.50;25
00:03:04.000;4.20;0.50;25
00:03:06.000;4.20;0.50;26
00:03:08.000;4.19;0.49;26
00:03:10.000;4.20;0.49;26
00:03:12.000;4.20;0.49;27
00:03:14.000;4.20;0.49;27
00:03:16.000;4.20;0.49;27
00:03:18.000;4.20;0.49;28
00:03:20.000;4.20;0.48;28
00:03:22.000;4.20;0.48;28
00:03:24.000;4.20;0.49;28
