date;system_time;cycle_time;battery_state;voltage[V];current[mA];capacity[mAh]
2025-10-25;02:06:26;0:00:00.637171;charging;4.197;0.2;0
2025-10-25;02:06:27;0:00:00.107628;charging;4.197;0.19;0
2025-10-25;02:06:27;0:00:00.210427;charging;4.197;0.19;0
2025-10-25;02:06:27;0:00:00.314687;charging;4.197;0.19;0
2025-10-25;02:06:27;0:00:00.419386;charging;4.197;0.19;0
2025-10-25;02:06:27;0:00:00.522249;charging;4.197;0.19;1
2025-10-25;02:06:27;0:00:00.625808;charging;4.197;0.19;1
2025-10-25;02:06:27;0:00:00.727843;charging;4.197;0.19;1
2025-10-25;02:06:27;0:00:00.829930;charging;4.197;0.19;1
2025-10-25;02:06:27;0:00:00.932257;charging;4.197;0.19;1
2025-10-25;02:06:27;0:00:01.034810;charging;4.197;0.19;1
2025-10-25;02:06:28;0:00:01.144733;charging;4.197;0.19;1
2025-10-25;02:06:28;0:00:01.248387;charging;4.197;0.19;1
2025-10-25;02:06:28;0:00:01.353610;charging;4.197;0.19;1
2025-10-25;02:06:28;0:00:01.456635;charging;4.197;0.19;1
2025-10-25;02:06:28;0:00:01.561487;charging;4.197;0.19;2
2025-10-25;02:06:28;0:00:01.664425;charging;4.197;0.19;2
2025-10-25;02:06:28;0:00:01.766880;charging;4.197;0.19;2
2025-10-25;02:06:28;0:00:01.871898;charging;4.197;0.19;2
2025-10-25;02:06:28;0:00:01.975001;charging;4.197;0.19;2
2025-10-25;02:06:28;0:00:02.077198;charging;4.197;0.19;2
2025-10-25;02:06:29;0:00:02.182189;charging;4.197;0.18;2
2025-10-25;02:06:29;0:00:02.285813;charging;4.197;0.2;2
2025-10-25;02:06:29;0:00:02.391582;charging;4.197;0.2;2
2025-10-25;02:06:29;0:00:02.495494;charging;4.197;0.2;3
2025-10-25;02:06:29;0:00:02.601472;charging;4.197;0.2;3
2025-10-25;02:06:29;0:00:02.707085;charging;4.197;0.2;3
2025-10-25;02:06:29;0:00:02.810863;charging;4.197;0.2;3
2025-10-25;02:06:29;0:00:02.914139;charging;4.196;0.2;3
2025-10-25;02:06:29;0:00:03.021507;charging;4.197;0.2;3
2025-10-25;02:06:30;0:00:03.125630;charging;4.197;0.2;3
2025-10-25;02:06:30;0:00:03.232069;charging;4.197;0.2;3
2025-10-25;02:06:30;0:00:03.335730;charging;4.197;0.2;4
2025-10-25;02:06:30;0:00:03.444038;charging;4.197;0.2;4
2025-10-25;02:06:30;0:00:03.547356;charging;4.197;0.2;4
2025-10-25;02:06:30;0:00:03.659645;charging;4.197;0.2;4
2025-10-25;02:06:30;0:00:03.768800;charging;4.197;0.2;4
2025-10-25;02:06:30;0:00:03.872201;charging;4.197;0.2;4
2025-10-25;02:06:30;0:00:03.978661;charging;4.197;0.2;4
2025-10-25;02:06:30;0:00:04.082462;charging;4.197;0.2;4
2025-10-25;02:06:31;0:00:04.191171;charging;4.197;0.2;4
2025-10-25;02:06:31;0:00:04.298592;charging;4.197;0.2;5
2025-10-25;02:06:31;0:00:04.412044;charging;4.197;0.2;5
2025-10-25;02:06:31;0:00:04.515716;charging;4.197;0.2;5
2025-10-25;02:06:31;0:00:04.627677;charging;4.197;0.2;5
2025-10-25;02:06:31;0:00:04.731369;charging;4.197;0.2;5
2025-10-25;02:06:31;0:00:04.833518;charging;4.197;0.2;5
2025-10-25;02:06:31;0:00:04.942741;charging;4.197;0.2;5
2025-10-25;02:06:31;0:00:05.053959;charging;4.197;0.2;5
2025-10-25;02:06:32;0:00:05.160052;charging;4.197;0.2;5
2025-10-25;02:06:32;0:00:05.263715;charging;4.197;0.2;6
2025-10-25;02:06:32;0:00:05.366039;charging;4.197;0.2;6
2025-10-25;02:06:32;0:00:05.469752;charging;4.197;0.2;6
2025-10-25;02:06:32;0:00:05.571865;charging;4.197;0.2;6
2025-10-25;02:06:32;0:00:05.674956;charging;4.197;0.2;6
2025-10-25;02:06:32;0:00:05.779390;charging;4.197;0.2;6
2025-10-25;02:06:32;0:00:05.882475;charging;4.197;0.2;6
2025-10-25;02:06:32;0:00:05.985642;charging;4.197;0.2;6
2025-10-25;02:06:33;0:00:06.105022;charging;4.197;0.2;6
2025-10-25;02:06:33;0:00:06.214494;charging;4.197;0.2;7
2025-10-25;02:06:33;0:00:06.326047;charging;4.197;0.2;7
2025-10-25;02:06:33;0:00:06.435986;charging;4.197;0.19;7
2025-10-25;02:06:33;0:00:06.547508;charging;4.197;0.19;7
2025-10-25;02:06:33;0:00:06.668293;charging;4.197;0.19;7
2025-10-25;02:06:33;0:00:06.771558;charging;4.197;0.19;7
2025-10-25;02:06:33;0:00:06.881291;charging;4.197;0.19;7
2025-10-25;02:06:33;0:00:06.984874;charging;4.197;0.19;7
2025-10-25;02:06:34;0:00:07.092674;charging;4.197;0.19;7
2025-10-25;02:06:34;0:00:07.196373;charging;4.197;0.19;8
2025-10-25;02:06:34;0:00:07.300186;charging;4.197;0.19;8
2025-10-25;02:06:34;0:00:07.454568;charging;4.197;0.19;8
2025-10-25;02:06:34;0:00:07.557423;charging;4.197;0.19;8
2025-10-25;02:06:34;0:00:07.664139;charging;4.197;0.19;8
2025-10-25;02:06:34;0:00:07.768291;charging;4.197;0.19;8
2025-10-25;02:06:34;0:00:07.872325;charging;4.197;0.19;8
2025-10-25;02:06:34;0:00:07.974781;charging;4.197;0.19;8
2025-10-25;02:06:34;0:00:08.078213;charging;4.197;0.19;8
2025-10-25;02:06:35;0:00:08.207110;charging;4.197;0.19;9
2025-10-25;02:06:35;0:00:08.312314;charging;4.197;0.19;9
2025-10-25;02:06:35;0:00:08.465184;charging;4.197;0.19;9
2025-10-25;02:06:35;0:00:08.569149;charging;4.197;0.19;9
2025-10-25;02:06:35;0:00:08.676964;charging;4.197;0.19;9
2025-10-25;02:06:35;0:00:08.794940;charging;4.197;0.19;9
2025-10-25;02:06:35;0:00:08.902027;charging;4.197;0.19;9
2025-10-25;02:06:35;0:00:09.006659;charging;4.197;0.19;9
2025-10-25;02:06:36;0:00:09.109570;charging;4.197;0.19;9
2025-10-25;02:06:36;0:00:09.214096;charging;4.197;0.19;10
2025-10-25;02:06:36;0:00:09.316433;charging;4.197;0.19;10
2025-10-25;02:06:36;0:00:09.418667;charging;4.197;0.19;10
2025-10-25;02:06:36;0:00:09.520587;charging;4.197;0.19;10
2025-10-25;02:06:36;0:00:09.623338;charging;4.197;0.19;10
2025-10-25;02:06:36;0:00:09.726374;charging;4.197;0.19;10
2025-10-25;02:06:36;0:00:09.829955;charging;4.197;0.19;10
2025-10-25;02:06:36;0:00:09.937669;charging;4.197;0.19;10
2025-10-25;02:06:36;0:00:10.041108;charging;4.197;0.19;10
2025-10-25;02:06:37;0:00:10.144851;charging;4.197;0.19;11
2025-10-25;02:06:37;0:00:10.248876;charging;4.197;0.19;11
2025-10-25;02:06:37;0:00:10.356946;charging;4.197;0.19;11
2025-10-25;02:06:37;0:00:10.478651;charging;4.197;0.19;11
2025-10-25;02:06:37;0:00:10.603744;charging;4.197;0.19;11
2025-10-25;02:06:37;0:00:10.706792;charging;4.197;0.19;11
2025-10-25;02:06:37;0:00:10.825577;charging;4.197;0.19;11
2025-10-25;02:06:37;0:00:10.934947;charging;4.197;0.19;11
2025-10-25;02:06:38;0:00:11.084518;charging;4.197;0.19;11
2025-10-25;02:06:38;0:00:11.188319;charging;4.197;0.19;12
2025-10-25;02:06:38;0:00:11.290973;charging;4.197;0.19;12
2025-10-25;02:06:38;0:00:11.394750;charging;4.197;0.19;12
2025-10-25;02:06:38;0:00:11.501968;charging;4.197;0.19;12
2025-10-25;02:06:38;0:00:11.605054;charging;4.197;0.19;12
2025-10-25;02:06:38;0:00:11.708592;charging;4.197;0.19;12
2025-10-25;02:06:38;0:00:11.812466;charging;4.197;0.19;12
2025-10-25;02:06:38;0:00:11.915800;charging;4.197;0.19;12
2025-10-25;02:06:38;0:00:12.018666;charging;4.197;0.19;12
2025-10-25;02:06:39;0:00:12.123747;charging;4.197;0.19;13
2025-10-25;02:06:39;0:00:12.228291;charging;4.197;0.19;13
2025-10-25;02:06:39;0:00:12.338426;charging;4.197;0.19;13
2025-10-25;02:06:39;0:00:12.446050;charging;4.197;0.19;13
2025-10-25;02:06:39;0:00:12.552594;charging;4.197;0.19;13
2025-10-25;02:06:39;0:00:12.655958;charging;4.197;0.19;13
2025-10-25;02:06:39;0:00:12.759159;charging;4.197;0.19;13
2025-10-25;02:06:39;0:00:12.865707;charging;4.197;0.19;13
2025-10-25;02:06:39;0:00:12.967511;charging;4.197;0.19;13
2025-10-25;02:06:39;0:00:13.069355;charging;4.197;0.19;13
2025-10-25;02:06:40;0:00:13.172669;charging;4.197;0.19;14
2025-10-25;02:06:40;0:00:13.275124;charging;4.197;0.19;14
2025-10-25;02:06:40;0:00:13.378926;charging;4.197;0.19;14
2025-10-25;02:06:40;0:00:13.481897;charging;4.197;0.19;14
2025-10-25;02:06:40;0:00:13.585344;charging;4.197;0.19;14
2025-10-25;02:06:40;0:00:13.688095;charging;4.197;0.19;14
2025-10-25;02:06:40;0:00:13.792761;charging;4.197;0.19;14
2025-10-25;02:06:40;0:00:13.896514;charging;4.197;0.19;14
2025-10-25;02:06:40;0:00:14.002802;charging;4.197;0.19;14
2025-10-25;02:06:41;0:00:14.109054;charging;4.197;0.19;15
2025-10-25;02:06:41;0:00:14.224254;charging;4.197;0.19;15
2025-10-25;02:06:41;0:00:14.346557;charging;4.197;0.19;15
