date;system_time;cycle_time;battery_state;voltage[V];current[mA];capacity[mAh]
2025-10-25; 02:00:26;0:00:00.556429;charging;4.197;0.2;0
2025-10-25; 02:00:26;0:00:00.107688;charging;4.197;0.19;0
2025-10-25; 02:00:26;0:00:00.238475;charging;4.197;0.19;0
2025-10-25; 02:00:26;0:00:00.361401;charging;4.197;0.19;0
2025-10-25; 02:00:26;0:00:00.463783;charging;4.197;0.19;0
2025-10-25; 02:00:26;0:00:00.565968;charging;4.197;0.19;1
2025-10-25; 02:00:26;0:00:00.669515;charging;4.197;0.19;1
2025-10-25; 02:00:26;0:00:00.791827;charging;4.197;0.19;1
2025-10-25; 02:00:26;0:00:00.897485;charging;4.197;0.19;1
2025-10-25; 02:00:27;0:00:01.000336;charging;4.197;0.19;1
2025-10-25; 02:00:27;0:00:01.103447;charging;4.197;0.19;1
2025-10-25; 02:00:27;0:00:01.207527;charging;4.197;0.19;1
2025-10-25; 02:00:27;0:00:01.310961;charging;4.197;0.19;1
2025-10-25; 02:00:27;0:00:01.422345;charging;4.197;0.19;1
2025-10-25; 02:00:27;0:00:01.529734;charging;4.197;0.19;1
2025-10-25; 02:00:27;0:00:01.635783;charging;4.197;0.19;2
2025-10-25; 02:00:27;0:00:01.742011;charging;4.197;0.19;2
2025-10-25; 02:00:27;0:00:01.845533;charging;4.197;0.19;2
2025-10-25; 02:00:28;0:00:01.954108;charging;4.197;0.19;2
2025-10-25; 02:00:28;0:00:02.069080;charging;4.197;0.19;2
2025-10-25; 02:00:28;0:00:02.174943;charging;4.197;0.19;2
2025-10-25; 02:00:28;0:00:02.282052;charging;4.197;0.18;2
2025-10-25; 02:00:28;0:00:02.390792;charging;4.197;0.2;2
2025-10-25; 02:00:28;0:00:02.501904;charging;4.197;0.2;2
2025-10-25; 02:00:28;0:00:02.605386;charging;4.197;0.2;3
2025-10-25; 02:00:28;0:00:02.722706;charging;4.197;0.2;3
2025-10-25; 02:00:28;0:00:02.827476;charging;4.197;0.2;3
2025-10-25; 02:00:28;0:00:02.931448;charging;4.197;0.2;3
2025-10-25; 02:00:29;0:00:03.034967;charging;4.196;0.2;3
2025-10-25; 02:00:29;0:00:03.138811;charging;4.197;0.2;3
2025-10-25; 02:00:29;0:00:03.245384;charging;4.197;0.2;3
2025-10-25; 02:00:29;0:00:03.348528;charging;4.197;0.2;3
2025-10-25; 02:00:29;0:00:03.452304;charging;4.197;0.2;4
2025-10-25; 02:00:29;0:00:03.569689;charging;4.197;0.2;4
2025-10-25; 02:00:29;0:00:03.672413;charging;4.197;0.2;4
2025-10-25; 02:00:29;0:00:03.776566;charging;4.197;0.2;4
2025-10-25; 02:00:29;0:00:03.879986;charging;4.197;0.2;4
2025-10-25; 02:00:30;0:00:03.983049;charging;4.197;0.2;4
2025-10-25; 02:00:30;0:00:04.088355;charging;4.197;0.2;4
2025-10-25; 02:00:30;0:00:04.201304;charging;4.197;0.2;4
2025-10-25; 02:00:30;0:00:04.314129;charging;4.197;0.2;4
2025-10-25; 02:00:30;0:00:04.417354;charging;4.197;0.2;5
2025-10-25; 02:00:30;0:00:04.531553;charging;4.197;0.2;5
2025-10-25; 02:00:30;0:00:04.638267;charging;4.197;0.2;5
2025-10-25; 02:00:30;0:00:04.743003;charging;4.197;0.2;5
2025-10-25; 02:00:30;0:00:04.854496;charging;4.197;0.2;5
2025-10-25; 02:00:31;0:00:04.960281;charging;4.197;0.2;5
2025-10-25; 02:00:31;0:00:05.064030;charging;4.197;0.2;5
2025-10-25; 02:00:31;0:00:05.170848;charging;4.197;0.2;5
2025-10-25; 02:00:31;0:00:05.281422;charging;4.197;0.2;5
2025-10-25; 02:00:31;0:00:05.384296;charging;4.197;0.2;6
2025-10-25; 02:00:31;0:00:05.493412;charging;4.197;0.2;6
2025-10-25; 02:00:31;0:00:05.596648;charging;4.197;0.2;6
2025-10-25; 02:00:31;0:00:05.700324;charging;4.197;0.2;6
2025-10-25; 02:00:31;0:00:05.807424;charging;4.197;0.2;6
2025-10-25; 02:00:31;0:00:05.911147;charging;4.197;0.2;6
2025-10-25; 02:00:32;0:00:06.015632;charging;4.197;0.2;6
2025-10-25; 02:00:32;0:00:06.118290;charging;4.197;0.2;6
2025-10-25; 02:00:32;0:00:06.221196;charging;4.197;0.2;6
2025-10-25; 02:00:32;0:00:06.323967;charging;4.197;0.2;7
2025-10-25; 02:00:32;0:00:06.428748;charging;4.197;0.2;7
2025-10-25; 02:00:32;0:00:06.531452;charging;4.197;0.19;7
2025-10-25; 02:00:32;0:00:06.640325;charging;4.197;0.19;7
2025-10-25; 02:00:32;0:00:06.765988;charging;4.197;0.19;7
2025-10-25; 02:00:32;0:00:06.884141;charging;4.197;0.19;7
2025-10-25; 02:00:33;0:00:06.988791;charging;4.197;0.19;7
2025-10-25; 02:00:33;0:00:07.091863;charging;4.197;0.19;7
2025-10-25; 02:00:33;0:00:07.199236;charging;4.197;0.19;7
2025-10-25; 02:00:33;0:00:07.303841;charging;4.197;0.19;8
2025-10-25; 02:00:33;0:00:07.414243;charging;4.197;0.19;8
2025-10-25; 02:00:33;0:00:07.518047;charging;4.197;0.19;8
2025-10-25; 02:00:33;0:00:07.630389;charging;4.197;0.19;8
2025-10-25; 02:00:33;0:00:07.734891;charging;4.197;0.19;8
2025-10-25; 02:00:33;0:00:07.864869;charging;4.197;0.19;8
2025-10-25; 02:00:34;0:00:07.976173;charging;4.197;0.19;8
2025-10-25; 02:00:34;0:00:08.082933;charging;4.197;0.19;8
2025-10-25; 02:00:34;0:00:08.193448;charging;4.197;0.19;8
2025-10-25; 02:00:34;0:00:08.303349;charging;4.197;0.19;9
2025-10-25; 02:00:34;0:00:08.407168;charging;4.197;0.19;9
