date;time;battery_state;voltage[V];current[mA];capacity[mAh]
2025-09-23;08:51:02;charging;4.19;7;6
2025-09-23;08:51:04;rest;4.138;0;6
2025-09-23;08:51:06;rest;3.865;0;6
2025-09-23;08:51:08;rest;3.865;0;6
2025-09-23;08:51:10;rest;3.865;0;6
2025-09-23;08:51:12;rest;3.865;0;6
2025-09-23;08:51:14;rest;3.864;0;6
2025-09-23;08:51:16;rest;3.864;0;6
2025-09-23;08:51:18;rest;3.863;0;6
2025-09-23;08:51:20;rest;3.865;0;6
2025-09-23;08:51:22;rest;3.865;0;6
2025-09-23;08:51:24;rest;3.863;0;6
2025-09-23;08:51:26;rest;3.864;0;6
2025-09-23;08:51:28;rest;3.861;0;6
2025-09-23;08:51:30;rest;3.863;0;6
2025-09-23;08:51:32;rest;3.861;0;6
2025-09-23;08:51:34;rest;3.861;0;6
2025-09-23;08:51:36;rest;3.861;0;6
2025-09-23;08:51:38;rest;3.863;0;6
2025-09-23;08:51:40;rest;3.861;0;6
2025-09-23;08:51:42;rest;3.859;0;6
2025-09-23;08:51:44;rest;3.859;0;6
2025-09-23;08:51:46;rest;3.857;0;6
2025-09-23;08:51:48;rest;3.859;0;6
2025-09-23;08:51:50;rest;3.86;0;6
2025-09-23;08:51:52;rest;3.857;0;6
2025-09-23;08:51:54;rest;3.858;0;6
2025-09-23;08:51:56;rest;3.857;0;6
2025-09-23;08:51:58;rest;3.857;0;6
2025-09-23;08:52:00;rest;3.863;0;6
2025-09-23;08:52:02;rest;3.857;0;6
2025-09-23;08:52:04;rest;3.857;0;6
2025-09-23;08:52:06;rest;3.858;0;6
2025-09-23;08:52:08;rest;3.857;0;6
2025-09-23;08:52:10;rest;3.858;0;6
2025-09-23;08:52:12;rest;3.863;0;6
2025-09-23;08:52:14;rest;3.857;0;6
2025-09-23;08:52:16;rest;3.857;0;6
2025-09-23;08:52:18;rest;3.857;0;6
2025-09-23;08:52:20;rest;3.857;0;6
2025-09-23;08:52:22;rest;3.857;0;6
2025-09-23;08:52:24;rest;3.857;0;6
2025-09-23;08:52:26;rest;3.857;0;6
2025-09-23;08:52:28;rest;3.857;0;6
2025-09-23;08:52:30;rest;3.865;0;6
2025-09-23;08:52:32;rest;3.863;0;6
2025-09-23;08:52:34;rest;3.862;0;6
2025-09-23;08:52:36;rest;3.863;0;6
2025-09-23;08:52:38;rest;3.857;0;6
2025-09-23;08:52:40;rest;3.857;0;6
2025-09-23;08:52:42;rest;3.861;0;6
2025-09-23;08:52:44;rest;3.857;0;6
2025-09-23;08:52:46;rest;3.857;0;6
2025-09-23;08:52:48;rest;3.857;0;6
2025-09-23;08:52:50;rest;3.857;0;6
2025-09-23;08:52:52;rest;3.857;0;6
2025-09-23;08:52:54;rest;3.857;0;6
2025-09-23;08:52:56;rest;3.857;0;6
2025-09-23;08:52:58;rest;3.857;0;6
2025-09-23;08:53:00;rest;3.857;0;6
2025-09-23;08:53:02;rest;3.857;0;6
2025-09-23;08:53:04;rest;3.863;0;6
2025-09-23;08:53:06;rest;3.857;0;6
2025-09-23;08:53:08;rest;3.857;0;6
2025-09-23;08:53:10;rest;3.857;0;6
2025-09-23;08:53:12;rest;3.857;0;6
2025-09-23;08:53:14;rest;3.857;0;6
2025-09-23;08:53:16;rest;3.857;0;6
2025-09-23;08:53:18;rest;3.857;0;6
2025-09-23;08:53:20;rest;3.857;0;6
2025-09-23;08:53:22;rest;3.857;0;6
2025-09-23;08:53:24;rest;3.857;0;6
2025-09-23;08:53:26;rest;3.857;0;6
2025-09-23;08:53:28;rest;3.857;0;6
2025-09-23;08:53:30;rest;3.864;0;6
2025-09-23;08:53:32;rest;3.857;0;6
2025-09-23;08:53:34;rest;3.857;0;6
2025-09-23;08:53:36;rest;3.863;0;6
2025-09-23;08:53:38;rest;3.864;0;6
2025-09-23;08:53:40;rest;3.857;0;6
2025-09-23;08:53:42;rest;3.857;0;6
2025-09-23;08:53:44;rest;3.857;0;6
2025-09-23;08:53:46;rest;3.864;0;6
2025-09-23;08:53:48;rest;3.857;0;6
2025-09-23;08:53:50;rest;3.857;0;6
2025-09-23;08:53:52;rest;3.857;0;6
2025-09-23;08:53:54;rest;3.857;0;6
2025-09-23;08:53:56;rest;3.863;0;6
2025-09-23;08:53:58;rest;3.857;0;6
2025-09-23;08:54:00;rest;3.863;0;6
2025-09-23;08:54:02;rest;3.857;0;6
2025-09-23;08:54:04;rest;3.857;0;6
2025-09-23;08:54:06;rest;3.857;0;6
2025-09-23;08:54:08;rest;3.857;0;6
2025-09-23;08:54:10;rest;3.857;0;6
2025-09-23;08:54:12;rest;3.857;0;6
2025-09-23;08:54:14;rest;3.857;0;6
2025-09-23;08:54:16;rest;3.857;0;6
2025-09-23;08:54:18;rest;3.857;0;6
2025-09-23;08:54:20;rest;3.857;0;6
2025-09-23;08:54:22;rest;3.857;0;6
2025-09-23;08:54:24;rest;3.857;0;6
2025-09-23;08:54:26;rest;3.857;0;6
2025-09-23;08:54:28;rest;3.857;0;6
2025-09-23;08:54:30;rest;3.857;0;6
2025-09-23;08:54:32;rest;3.857;0;6
2025-09-23;08:54:34;rest;3.857;0;6
2025-09-23;08:54:36;rest;3.857;0;6
2025-09-23;08:54:38;rest;3.857;0;6
2025-09-23;08:54:40;rest;3.857;0;6
2025-09-23;08:54:42;rest;3.857;0;6
2025-09-23;08:54:44;rest;3.857;0;6
2025-09-23;08:54:46;rest;3.857;0;6
2025-09-23;08:54:48;rest;3.857;0;6
2025-09-23;08:54:50;rest;3.857;0;6
2025-09-23;08:54:52;rest;3.857;0;6
2025-09-23;08:54:54;rest;3.857;0;6
2025-09-23;08:54:56;rest;3.857;0;6
2025-09-23;08:54:58;rest;3.863;0;6
2025-09-23;08:55:00;rest;3.857;0;6
2025-09-23;08:55:02;rest;3.857;0;6
2025-09-23;08:55:04;rest;3.857;0;6
2025-09-23;08:55:06;rest;3.857;0;6
2025-09-23;08:55:08;rest;3.857;0;6
2025-09-23;08:55:10;rest;3.857;0;6
