date;system_time;cycle_time;data starting; cycle; empty; provided voltage; voltage (mV); current (cA); battery1; battery2; battery3; battery4; battery5; battery6; unknown0; unknown1; capacity (mAh); unknown2
2025-10-22; 13:50:39;0:00:03.918448;$1;1;;12033;4066;12;0;0;0;0;0;0;318;1;0;16
2025-10-22; 13:50:41;0:00:05.870370;$1;1;;12020;4197;20;0;0;0;0;0;0;318;1;0;28
2025-10-22; 13:50:43;0:00:07.880676;$1;1;;12020;4197;20;0;0;0;0;0;0;318;0;0;29
2025-10-22; 13:50:45;0:00:09.913577;$1;1;;12020;4197;20;0;0;0;0;0;0;318;0;0;29
2025-10-22; 13:50:47;0:00:11.922423;$1;1;;12020;4197;20;0;0;0;0;0;0;318;0;0;29
2025-10-22; 13:50:49;0:00:01.928346;$1;1;;12007;4197;19;0;0;0;0;0;0;318;0;0;18
2025-10-22; 13:50:51;0:00:03.937561;$1;1;;12020;4197;19;0;0;0;0;0;0;318;0;0;23
2025-10-22; 13:50:53;0:00:05.965932;$1;1;;12013;4197;19;0;0;0;0;0;0;321;0;0;29
2025-10-22; 13:50:55;0:00:07.975026;$1;1;;12020;4197;19;0;0;0;0;0;0;321;1;0;28
2025-10-22; 13:50:57;0:00:09.917880;$1;1;;12020;4197;19;0;0;0;0;0;0;323;0;1;30
2025-10-22; 13:50:59;0:00:12.027574;$1;1;;12013;4197;19;0;0;0;0;0;0;328;0;1;21
2025-10-22; 13:51:01;0:00:13.955967;$1;1;;12020;4197;19;0;0;0;0;0;0;328;0;1;21
2025-10-22; 13:51:03;0:00:15.965737;$1;1;;12013;4197;19;0;0;0;0;0;0;328;0;1;21
2025-10-22; 13:51:05;0:00:17.910213;$1;1;;12020;4197;19;0;0;0;0;0;0;328;0;1;21
2025-10-22; 13:51:07;0:00:20.020731;$1;1;;12020;4197;19;0;0;0;0;0;0;328;0;1;21
2025-10-22; 13:51:09;0:00:21.953199;$1;1;;12013;4197;19;0;0;0;0;0;0;328;0;1;21
2025-10-22; 13:51:11;0:00:23.962865;$1;1;;12013;4197;19;0;0;0;0;0;0;328;0;1;21
2025-10-22; 13:51:13;0:00:25.906916;$1;1;;12020;4197;19;0;0;0;0;0;0;328;0;1;21
2025-10-22; 13:51:15;0:00:28.017337;$1;1;;12020;4197;19;0;0;0;0;0;0;328;0;1;21
2025-10-22; 13:51:17;0:00:29.945236;$1;1;;12020;4197;19;0;0;0;0;0;0;328;0;2;22
2025-10-22; 13:51:19;0:00:31.954676;$1;1;;12020;4197;19;0;0;0;0;0;0;328;0;2;22
2025-10-22; 13:51:21;0:00:33.993956;$1;1;;12020;4197;19;0;0;0;0;0;0;328;0;2;22
2025-10-22; 13:51:23;0:00:36.004440;$1;1;;12020;4197;19;0;0;0;0;0;0;328;0;2;22
2025-10-22; 13:51:25;0:00:37.942128;$1;1;;12013;4197;19;0;0;0;0;0;0;330;0;2;31
