date;system_time;cycle_time;data starting; cycle; empty; provided voltage; voltage (mV); current (cA); battery1; battery2; battery3; battery4; battery5; battery6; unknown0; unknown1; capacity (mAh); unknown2
2025-10-25; 02:06:26;0:00:00.204249;$1;1;;12033;4066;12;0;0;0;0;0;0;318;1;0;16
2025-10-25; 02:06:26;0:00:00.306724;$1;1;;12020;4197;20;0;0;0;0;0;0;318;1;0;28
2025-10-25; 02:06:26;0:00:00.409489;$1;1;;12020;4197;20;0;0;0;0;0;0;318;0;0;29
2025-10-25; 02:06:26;0:00:00.531471;$1;1;;12020;4197;20;0;0;0;0;0;0;318;0;0;29
2025-10-25; 02:06:26;0:00:00.637171;$1;1;;12020;4197;20;0;0;0;0;0;0;318;0;0;29
2025-10-25; 02:06:27;0:00:00.107628;$1;1;;12007;4197;19;0;0;0;0;0;0;318;0;0;18
2025-10-25; 02:06:27;0:00:00.210427;$1;1;;12020;4197;19;0;0;0;0;0;0;318;0;0;23
2025-10-25; 02:06:27;0:00:00.314687;$1;1;;12013;4197;19;0;0;0;0;0;0;321;0;0;29
2025-10-25; 02:06:27;0:00:00.419386;$1;1;;12020;4197;19;0;0;0;0;0;0;321;1;0;28
2025-10-25; 02:06:27;0:00:00.522249;$1;1;;12020;4197;19;0;0;0;0;0;0;323;0;1;30
2025-10-25; 02:06:27;0:00:00.625808;$1;1;;12013;4197;19;0;0;0;0;0;0;328;0;1;21
2025-10-25; 02:06:27;0:00:00.727843;$1;1;;12020;4197;19;0;0;0;0;0;0;328;0;1;21
2025-10-25; 02:06:27;0:00:00.829930;$1;1;;12013;4197;19;0;0;0;0;0;0;328;0;1;21
2025-10-25; 02:06:27;0:00:00.932257;$1;1;;12020;4197;19;0;0;0;0;0;0;328;0;1;21
2025-10-25; 02:06:27;0:00:01.034810;$1;1;;12020;4197;19;0;0;0;0;0;0;328;0;1;21
2025-10-25; 02:06:28;0:00:01.144733;$1;1;;12013;4197;19;0;0;0;0;0;0;328;0;1;21
2025-10-25; 02:06:28;0:00:01.248387;$1;1;;12013;4197;19;0;0;0;0;0;0;328;0;1;21
2025-10-25; 02:06:28;0:00:01.353610;$1;1;;12020;4197;19;0;0;0;0;0;0;328;0;1;21
2025-10-25; 02:06:28;0:00:01.456635;$1;1;;12020;4197;19;0;0;0;0;0;0;328;0;1;21
2025-10-25; 02:06:28;0:00:01.561487;$1;1;;12020;4197;19;0;0;0;0;0;0;328;0;2;22
2025-10-25; 02:06:28;0:00:01.664425;$1;1;;12020;4197;19;0;0;0;0;0;0;328;0;2;22
2025-10-25; 02:06:28;0:00:01.766880;$1;1;;12020;4197;19;0;0;0;0;0;0;328;0;2;22
2025-10-25; 02:06:28;0:00:01.871898;$1;1;;12020;4197;19;0;0;0;0;0;0;328;0;2;22
2025-10-25; 02:06:28;0:00:01.975001;$1;1;;12013;4197;19;0;0;0;0;0;0;330;0;2;31
2025-10-25; 02:06:28;0:00:02.077198;$1;1;;12013;4197;19;0;0;0;0;0;0;330;0;2;31
2025-10-25; 02:06:29;0:00:02.182189;$1;1;;12020;4197;18;0;0;0;0;0;0;330;0;2;30
2025-10-25; 02:06:29;0:00:02.285813;$1;1;;12013;4197;20;0;0;0;0;0;0;332;0;2;23
2025-10-25; 02:06:29;0:00:02.391582;$1;1;;12013;4197;20;0;0;0;0;0;0;332;0;2;23
2025-10-25; 02:06:29;0:00:02.495494;$1;1;;12007;4197;20;0;0;0;0;0;0;332;0;3;19
